name,rating,n,link,director,star_1,star_2,star_3,synopsis
The Shawshank Redemption,9.2,"2,577,915",https://www.imdb.com//title/tt0111161/,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,"The Shawshank Redemption is a 1994 American drama film written and directed by Frank Darabont and starring Tim Robbins and Morgan Freeman. The Shawshank Redemption is based on the novella Rita Hayworth and Shawshank Redemption by Stephen King and tells the story of banker Andy Dufresne (Robbins), who is sentenced to life in Shawshank State Penitentiary for the murder of his wife and her lover despite his claims of innocence. Over the course of his time at Shawshank, Andy befriends fellow prisoner Red (Freeman) and finds ways to make his time incarcerated more bearable. When Andy discovers that the warden is engaged in illegal activities, he uses his knowledge to blackmail the warden and gain his freedom. The Shawshank Redemption was a critical and commercial success, grossing over $58 million at the box office and receiving seven Academy Award nominations, including Best Picture."
The Godfather,9.2,"1,774,936",https://www.imdb.com//title/tt0068646/,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,"The Godfather is a 1972 American crime drama directed by Francis Ford Coppola and produced by Albert S. Ruddy, based on Mario Puzo's best-selling novel of the same name. It stars Marlon Brando and Al Pacino as the leaders of the Corleone crime family. The story, spanning 1945 to 1955, chronicles the family under the patriarch Vito Corleone (Brando), focusing on the transformation of Michael Corleone (Pacino) from reluctant family outsider to ruthless mafia boss.The Godfather received universally positive reviews from critics. It was a commercial success, becoming the highest-grossing film of 1972 and was for a time the highest-grossing film ever made. It won the Oscars for Best Picture, Best Actor (Brando) and Best Adapted Screenplay (for Puzo and Coppola). Its seven other Oscar nominations included Pacino, James Caan and Robert Duvall for Best Supporting Actor and Coppola for Best Director.The Godfather is widely regarded as one of the greatest films in world cinema. It was selected for preservation in the U.S. National Film Registry in 1990, being deemed ""culturally, historically, or aesthetically significant"" and is ranked the second-greatest film in American cinema (behind Citizen Kane) by the American Film Institute. Its influence on the film industry has been considerable. The film was followed by two sequels: The Godfather Part II (1974) and The Godfather Part III (1990)."
The Dark Knight,9.0,"2,546,248",https://www.imdb.com//title/tt0468569/,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,"The Dark Knight is a 2008 superhero film directed, produced, and co-written by Christopher Nolan. Based on the DC Comics character Batman, the film is the second part of Nolan's The Dark Knight Trilogy and a sequel to 2005's Batman Begins. Christian Bale stars as Bruce Wayne / Batman, alongside Michael Caine, Heath Ledger, Gary Oldman, Aaron Eckhart, Maggie Gyllenhaal, and Morgan Freeman. In the film, Bruce Wayne raises the stakes in his war on crime. With the help of Lt. Jim Gordon and DA Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague Gotham City. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known as The Joker, who thrusts Gotham into anarchy and forces Batman closer to crossing the fine line between hero and vigilante."
The Godfather: Part II,9.0,"1,227,203",https://www.imdb.com//title/tt0071562/,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,"The Godfather Part II is a 1974 American epic crime film produced and directed by Francis Ford Coppola from a screenplay co-written with Mario Puzo, starring Al Pacino and Robert De Niro. Partially based on Puzo's 1969 novel The Godfather, the film is both a sequel and a prequel to The Godfather, presenting parallel dramas. The Godfather Part II was released in 1974 to universal acclaim and became the first sequel to win the Academy Award for Best Picture.In the early 1900s, young Vito Andolini is born in Sicily and emigrates with his family to the United States. Vito grows up on the mean streets of New York City's Little Italy, where he becomes a skilled street fighter and earns the nickname ""The Butcher's Boy"". Vito's friend, Genco Abbandando, introduces him to the world of organized crime, and Vito quickly establishes himself as a rising star in the New York Mafia.Meanwhile, in 1917, a young Vito Corleone is living a life of poverty in Sicily. One day, he witnesses his father, Antonio Andolini, being brutally murdered by a local mafia boss. Vito flees Sicily for America, where he changes his name to ""Vito Corleone"" and begins to build a new life.In the present day, middle-aged Vito Corleone is the most powerful Mafia boss in America. His son, Michael Corleone, has returned from military service and is now a successful businessman. However, Michael is increasingly drawn into the family business, and he eventually becomes the new head of the Corleone crime family.As Michael expands the Corleone family's power and influence, he faces challenges from rival families, the government, and his own conscience. Meanwhile, the aging Vito is still active in the family business, but his health is failing. As Vito's health deteriorates, he begins to reminisce about his life in Sicily and his journey to America.The Godfather Part II is a powerful and timeless film about the nature of power, family, and violence."
12 Angry Men,8.9,"761,385",https://www.imdb.com//title/tt0050083/,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,"A group of 12 jurors are tasked with deciding the fate of a young man accused of murder. After a long and heated debate, the jurors come to a unanimous verdict of not guilty."
Schindler's List,8.9,"1,312,837",https://www.imdb.com//title/tt0108052/,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,"Schindler's List tells the story of Oskar Schindler, a German businessman who owned a factory in Nazi-occupied Poland. During the Holocaust, Schindler saved the lives of more than a thousand Jewish people by employing them in his factory."
The Lord of the Rings: The Return of the King,8.9,"1,772,671",https://www.imdb.com//title/tt0167260/,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,"The movie is the third and final installment in The Lord of the Rings trilogy. The movie begins with Gandalf, Aragorn, and the rest of the Fellowship of the Ring arriving in Minas Tirith, the capital of Gondor. They are there to help defend the city against the armies of Sauron. Sauron's forces are led by the Witch-king of Angmar, and they are outnumbered. However, they are able to drive the enemy back and win the battle.The movie then shifts to Mount Doom, where Frodo and Sam are trying to destroy the One Ring. They are accompanied by Gollum, who is also trying to get the Ring. Gollum eventually gets the Ring from Frodo, but Frodo is able to get it back. Gollum then falls into the lava and dies.With the Ring destroyed, Sauron is defeated and the armies of Mordor flee. Aragorn then takes his rightful place as the king of Gondor. The movie ends with the members of the Fellowship going their separate ways."
Pulp Fiction,8.9,"1,978,232",https://www.imdb.com//title/tt0110912/,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,"In Pulp Fiction, two mob hitmen, Vincent Vega and Jules Winnfield, are on a mission to retrieve a briefcase for their boss. Meanwhile, Vincent's boss's wife, Mia Wallace, is having an affair with Vincent. But when Mia overdoses on heroin, Vincent has to take her to his boss's house. Things go awry when Jules and Vincent start arguing over the rules of a new game they're playing."
The Lord of the Rings: The Fellowship of the Ring,8.8,"1,794,147",https://www.imdb.com//title/tt0120737/,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,"The movie tells the story of the Hobbits, a peaceful race of small people, and their quest to destroy the One Ring, a ring that gives its wearer absolute power. The ring was created by the Dark Lord Sauron, and it is this quest that forms the basis of the movie. The movie follows the Hobbits as they travel through treacherous lands, encountering many perils along the way. The movie culminates with the Hobbits reaching the Crack of Doom, where the ring must be destroyed."
"The Good, the Bad and the Ugly",8.8,"740,691",https://www.imdb.com//title/tt0060196/,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,"The Good, the Bad and the Ugly is a 1966 American Western film directed by Sergio Leone and starring Clint Eastwood, Lee Van Cleef, and Eli Wallach in their respective title roles. The screenplay was written by Age & Scarpelli, Luciano Vincenzoni, and Leone, based on a story by Vincenzoni and Leone. The film is an Italian-American co-production, shot on location in Spain and Italy, and was released in the United States in 1967.The film's plot revolves around three gunslingers competing to find a fortune in Confederate gold buried in a cemetery; the story takes place during the American Civil War. While the film's title refers to the three main characters, The Good, the Bad and the Ugly is commonly referred to as a ""spaghetti Western"" because of its Italian production, which Leone co-wrote with Sergio Donati based on a story by Vincenzoni and Leone.The Good, the Bad and the Ugly was a commercial success, grossing over $25 million at the box office, and is considered one of the greatest films of all time. The film was the third and final installment of Leone's Dollars Trilogy, following A Fistful of Dollars and For a Few Dollars More."
